1529649295 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649296 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649297 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649299 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649300 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649301 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649302 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649303 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649304 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649306 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649307 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649308 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649309 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649310 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649311 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649313 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649314 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649315 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649316 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649317 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649318 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649320 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649321 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649322 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649323 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649324 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649325 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649327 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649328 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649329 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649330 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649331 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649332 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649334 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649335 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649336 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649337 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649338 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649339 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649341 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649342 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649343 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649344 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649345 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649346 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529649348 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.0 id, 5.0 wa, 0.0 hi, 0.1 si, 0.0 st
