1529649338 KiB Mem: 8197444 total, 8029752 used, 167692 free, 11172 buffers
1529649339 KiB Mem: 8197444 total, 8034296 used, 163148 free, 11172 buffers
1529649341 KiB Mem: 8197444 total, 8044308 used, 153136 free, 11180 buffers
1529649342 KiB Mem: 8197444 total, 8041576 used, 155868 free, 11180 buffers
1529649343 KiB Mem: 8197444 total, 8035732 used, 161712 free, 11180 buffers
1529649344 KiB Mem: 8197444 total, 8039576 used, 157868 free, 11180 buffers
1529649345 KiB Mem: 8197444 total, 8038132 used, 159312 free, 11188 buffers
1529649346 KiB Mem: 8197444 total, 8034452 used, 162992 free, 11188 buffers
1529649348 KiB Mem: 8197444 total, 8034072 used, 163372 free, 11188 buffers
1529649349 KiB Mem: 8197444 total, 8034152 used, 163292 free, 11188 buffers
1529649350 KiB Mem: 8197444 total, 8031536 used, 165908 free, 11188 buffers
1529649351 KiB Mem: 8197444 total, 8033852 used, 163592 free, 11196 buffers
1529649352 KiB Mem: 8197444 total, 8034144 used, 163300 free, 11196 buffers
1529649354 KiB Mem: 8197444 total, 8033448 used, 163996 free, 11196 buffers
1529649355 KiB Mem: 8197444 total, 8034036 used, 163408 free, 11196 buffers
1529649356 KiB Mem: 8197444 total, 8034020 used, 163424 free, 11204 buffers
1529649357 KiB Mem: 8197444 total, 8034156 used, 163288 free, 11204 buffers
1529649358 KiB Mem: 8197444 total, 8034676 used, 162768 free, 11204 buffers
1529649359 KiB Mem: 8197444 total, 8034388 used, 163056 free, 11204 buffers
1529649361 KiB Mem: 8197444 total, 8034392 used, 163052 free, 11212 buffers
1529649362 KiB Mem: 8197444 total, 8034620 used, 162824 free, 11212 buffers
1529649363 KiB Mem: 8197444 total, 8034700 used, 162744 free, 11212 buffers
1529649364 KiB Mem: 8197444 total, 8031468 used, 165976 free, 11212 buffers
1529649365 KiB Mem: 8197444 total, 8035000 used, 162444 free, 11212 buffers
1529649366 KiB Mem: 8197444 total, 8034700 used, 162744 free, 11220 buffers
1529649368 KiB Mem: 8197444 total, 8034664 used, 162780 free, 11220 buffers
1529649369 KiB Mem: 8197444 total, 8035408 used, 162036 free, 11220 buffers
1529649370 KiB Mem: 8197444 total, 8035200 used, 162244 free, 11220 buffers
1529649371 KiB Mem: 8197444 total, 8033036 used, 164408 free, 11228 buffers
1529649372 KiB Mem: 8197444 total, 8045548 used, 151896 free, 11228 buffers
1529649373 KiB Mem: 8197444 total, 8042256 used, 155188 free, 11228 buffers
1529649375 KiB Mem: 8197444 total, 8045052 used, 152392 free, 11228 buffers
1529649376 KiB Mem: 8197444 total, 8043672 used, 153772 free, 11236 buffers
1529649377 KiB Mem: 8197444 total, 8032760 used, 164684 free, 11236 buffers
1529649378 KiB Mem: 8197444 total, 8034080 used, 163364 free, 11244 buffers
1529649379 KiB Mem: 8197444 total, 8034040 used, 163404 free, 11244 buffers
1529649380 KiB Mem: 8197444 total, 8034436 used, 163008 free, 11244 buffers
1529649382 KiB Mem: 8197444 total, 8034580 used, 162864 free, 11244 buffers
1529649383 KiB Mem: 8197444 total, 8031988 used, 165456 free, 11264 buffers
1529649384 KiB Mem: 8197444 total, 8034436 used, 163008 free, 11264 buffers
1529649385 KiB Mem: 8197444 total, 8034776 used, 162668 free, 11264 buffers
1529649386 KiB Mem: 8197444 total, 8034184 used, 163260 free, 11264 buffers
1529649387 KiB Mem: 8197444 total, 8033908 used, 163536 free, 11264 buffers
1529649389 KiB Mem: 8197444 total, 8034424 used, 163020 free, 11272 buffers
1529649390 KiB Mem: 8197444 total, 8031308 used, 166136 free, 11272 buffers
1529649391 KiB Mem: 8197444 total, 8034360 used, 163084 free, 11272 buffers
1529649392 KiB Mem: 8197444 total, 8034560 used, 162884 free, 11272 buffers
