1529650964 KiB Mem: 8197444 total, 7818872 used, 378572 free, 25024 buffers
1529650965 KiB Mem: 8197444 total, 7909268 used, 288176 free, 25024 buffers
1529650966 KiB Mem: 8197444 total, 7979432 used, 218012 free, 25036 buffers
1529650967 KiB Mem: 8197444 total, 8033536 used, 163908 free, 25040 buffers
1529650969 KiB Mem: 8197444 total, 8033756 used, 163688 free, 25040 buffers
1529650970 KiB Mem: 8197444 total, 8026608 used, 170836 free, 25044 buffers
1529650971 KiB Mem: 8197444 total, 8025152 used, 172292 free, 25052 buffers
1529650972 KiB Mem: 8197444 total, 8026708 used, 170736 free, 25052 buffers
1529650973 KiB Mem: 8197444 total, 8026272 used, 171172 free, 25052 buffers
1529650974 KiB Mem: 8197444 total, 8026044 used, 171400 free, 25052 buffers
1529650976 KiB Mem: 8197444 total, 8026140 used, 171304 free, 25060 buffers
1529650977 KiB Mem: 8197444 total, 8026456 used, 170988 free, 25060 buffers
1529650978 KiB Mem: 8197444 total, 8022744 used, 174700 free, 25060 buffers
1529650979 KiB Mem: 8197444 total, 8025812 used, 171632 free, 25060 buffers
1529650980 KiB Mem: 8197444 total, 8026192 used, 171252 free, 25060 buffers
1529650981 KiB Mem: 8197444 total, 8025536 used, 171908 free, 25068 buffers
1529650983 KiB Mem: 8197444 total, 8021640 used, 175804 free, 25068 buffers
1529650984 KiB Mem: 8197444 total, 8026168 used, 171276 free, 25068 buffers
1529650985 KiB Mem: 8197444 total, 8013864 used, 183580 free, 25068 buffers
1529650986 KiB Mem: 8197444 total, 8014792 used, 182652 free, 25076 buffers
1529650987 KiB Mem: 8197444 total, 8014344 used, 183100 free, 25076 buffers
1529650988 KiB Mem: 8197444 total, 8014788 used, 182656 free, 25076 buffers
1529650990 KiB Mem: 8197444 total, 8012644 used, 184800 free, 25076 buffers
1529650991 KiB Mem: 8197444 total, 8025048 used, 172396 free, 25084 buffers
1529650992 KiB Mem: 8197444 total, 8020476 used, 176968 free, 25084 buffers
1529650993 KiB Mem: 8197444 total, 8024288 used, 173156 free, 25084 buffers
1529650994 KiB Mem: 8197444 total, 8023784 used, 173660 free, 25084 buffers
1529650995 KiB Mem: 8197444 total, 8017364 used, 180080 free, 25092 buffers
1529650997 KiB Mem: 8197444 total, 8012280 used, 185164 free, 25092 buffers
1529650998 KiB Mem: 8197444 total, 8015500 used, 181944 free, 25092 buffers
1529650999 KiB Mem: 8197444 total, 8015256 used, 182188 free, 25092 buffers
1529651000 KiB Mem: 8197444 total, 8015172 used, 182272 free, 25092 buffers
1529651001 KiB Mem: 8197444 total, 8011832 used, 185612 free, 25100 buffers
1529651002 KiB Mem: 8197444 total, 8014044 used, 183400 free, 25100 buffers
1529651004 KiB Mem: 8197444 total, 8015204 used, 182240 free, 25100 buffers
