1529650964 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.6 id, 3.7 wa, 0.0 hi, 0.1 si, 0.0 st
1529650965 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.6 id, 3.7 wa, 0.0 hi, 0.1 si, 0.0 st
1529650966 %Cpu(s): 4.9 us, 1.7 sy, 0.0 ni, 89.6 id, 3.7 wa, 0.0 hi, 0.1 si, 0.0 st
1529650967 %Cpu(s): 4.9 us, 1.7 sy, 0.0 ni, 89.6 id, 3.7 wa, 0.0 hi, 0.1 si, 0.0 st
1529650969 %Cpu(s): 4.9 us, 1.7 sy, 0.0 ni, 89.6 id, 3.7 wa, 0.0 hi, 0.1 si, 0.0 st
1529650970 %Cpu(s): 4.9 us, 1.7 sy, 0.0 ni, 89.6 id, 3.7 wa, 0.0 hi, 0.1 si, 0.0 st
1529650971 %Cpu(s): 4.9 us, 1.7 sy, 0.0 ni, 89.6 id, 3.7 wa, 0.0 hi, 0.1 si, 0.0 st
1529650972 %Cpu(s): 4.9 us, 1.7 sy, 0.0 ni, 89.6 id, 3.7 wa, 0.0 hi, 0.1 si, 0.0 st
1529650973 %Cpu(s): 4.9 us, 1.7 sy, 0.0 ni, 89.6 id, 3.7 wa, 0.0 hi, 0.1 si, 0.0 st
1529650974 %Cpu(s): 4.9 us, 1.7 sy, 0.0 ni, 89.6 id, 3.7 wa, 0.0 hi, 0.1 si, 0.0 st
1529650976 %Cpu(s): 4.9 us, 1.7 sy, 0.0 ni, 89.6 id, 3.7 wa, 0.0 hi, 0.1 si, 0.0 st
1529650977 %Cpu(s): 4.9 us, 1.7 sy, 0.0 ni, 89.6 id, 3.7 wa, 0.0 hi, 0.1 si, 0.0 st
1529650978 %Cpu(s): 4.9 us, 1.7 sy, 0.0 ni, 89.6 id, 3.7 wa, 0.0 hi, 0.1 si, 0.0 st
1529650979 %Cpu(s): 4.9 us, 1.7 sy, 0.0 ni, 89.6 id, 3.7 wa, 0.0 hi, 0.1 si, 0.0 st
1529650980 %Cpu(s): 4.9 us, 1.7 sy, 0.0 ni, 89.6 id, 3.7 wa, 0.0 hi, 0.1 si, 0.0 st
1529650981 %Cpu(s): 4.9 us, 1.7 sy, 0.0 ni, 89.6 id, 3.7 wa, 0.0 hi, 0.1 si, 0.0 st
1529650983 %Cpu(s): 4.9 us, 1.7 sy, 0.0 ni, 89.6 id, 3.7 wa, 0.0 hi, 0.1 si, 0.0 st
1529650984 %Cpu(s): 4.9 us, 1.7 sy, 0.0 ni, 89.6 id, 3.7 wa, 0.0 hi, 0.1 si, 0.0 st
