1529650454 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650455 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650456 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650457 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650458 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650460 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650461 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650462 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650463 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650464 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650465 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650467 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650468 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650469 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650470 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650471 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650472 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650474 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650475 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650476 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650477 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650478 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650479 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650481 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650482 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529650483 %Cpu(s): 4.7 us, 1.7 sy, 0.0 ni, 89.5 id, 4.1 wa, 0.0 hi, 0.1 si, 0.0 st
