1529650454 KiB Mem: 8197444 total, 7791672 used, 405772 free, 24124 buffers
1529650455 KiB Mem: 8197444 total, 7880020 used, 317424 free, 24124 buffers
1529650456 KiB Mem: 8197444 total, 7938604 used, 258840 free, 24136 buffers
1529650457 KiB Mem: 8197444 total, 8018764 used, 178680 free, 24144 buffers
1529650458 KiB Mem: 8197444 total, 8014760 used, 182684 free, 24144 buffers
1529650460 KiB Mem: 8197444 total, 8008868 used, 188576 free, 24144 buffers
1529650461 KiB Mem: 8197444 total, 8008668 used, 188776 free, 24152 buffers
1529650462 KiB Mem: 8197444 total, 8008728 used, 188716 free, 24152 buffers
1529650463 KiB Mem: 8197444 total, 8009908 used, 187536 free, 24152 buffers
1529650464 KiB Mem: 8197444 total, 8004856 used, 192588 free, 24152 buffers
1529650465 KiB Mem: 8197444 total, 8007992 used, 189452 free, 24160 buffers
1529650467 KiB Mem: 8197444 total, 8009260 used, 188184 free, 24160 buffers
1529650468 KiB Mem: 8197444 total, 8008128 used, 189316 free, 24160 buffers
1529650469 KiB Mem: 8197444 total, 8008332 used, 189112 free, 24160 buffers
1529650470 KiB Mem: 8197444 total, 8008092 used, 189352 free, 24160 buffers
1529650471 KiB Mem: 8197444 total, 8007512 used, 189932 free, 24168 buffers
1529650472 KiB Mem: 8197444 total, 8007928 used, 189516 free, 24172 buffers
1529650474 KiB Mem: 8197444 total, 8007436 used, 190008 free, 24172 buffers
1529650475 KiB Mem: 8197444 total, 8007712 used, 189732 free, 24172 buffers
1529650476 KiB Mem: 8197444 total, 8004712 used, 192732 free, 24180 buffers
1529650477 KiB Mem: 8197444 total, 8008808 used, 188636 free, 24180 buffers
1529650478 KiB Mem: 8197444 total, 8008044 used, 189400 free, 24180 buffers
1529650479 KiB Mem: 8197444 total, 8006008 used, 191436 free, 24180 buffers
1529650481 KiB Mem: 8197444 total, 8018292 used, 179152 free, 24188 buffers
1529650482 KiB Mem: 8197444 total, 8012020 used, 185424 free, 24188 buffers
1529650483 KiB Mem: 8197444 total, 8009760 used, 187684 free, 24188 buffers
1529650484 KiB Mem: 8197444 total, 8016736 used, 180708 free, 24188 buffers
1529650485 KiB Mem: 8197444 total, 8011468 used, 185976 free, 24196 buffers
1529650486 KiB Mem: 8197444 total, 8006544 used, 190900 free, 24196 buffers
1529650488 KiB Mem: 8197444 total, 8007288 used, 190156 free, 24196 buffers
1529650489 KiB Mem: 8197444 total, 8004528 used, 192916 free, 24196 buffers
1529650490 KiB Mem: 8197444 total, 8006572 used, 190872 free, 24196 buffers
1529650491 KiB Mem: 8197444 total, 8007144 used, 190300 free, 24204 buffers
1529650492 KiB Mem: 8197444 total, 8006636 used, 190808 free, 24204 buffers
1529650494 KiB Mem: 8197444 total, 8006128 used, 191316 free, 24204 buffers
1529650495 KiB Mem: 8197444 total, 8005872 used, 191572 free, 24204 buffers
1529650496 KiB Mem: 8197444 total, 8002608 used, 194836 free, 24212 buffers
1529650497 KiB Mem: 8197444 total, 8005588 used, 191856 free, 24212 buffers
1529650498 KiB Mem: 8197444 total, 8005860 used, 191584 free, 24212 buffers
1529650499 KiB Mem: 8197444 total, 8005272 used, 192172 free, 24212 buffers
1529650501 KiB Mem: 8197444 total, 8005200 used, 192244 free, 24220 buffers
1529650502 KiB Mem: 8197444 total, 8001760 used, 195684 free, 24220 buffers
1529650503 KiB Mem: 8197444 total, 8004956 used, 192488 free, 24220 buffers
1529650504 KiB Mem: 8197444 total, 8005544 used, 191900 free, 24220 buffers
1529650505 KiB Mem: 8197444 total, 8005336 used, 192108 free, 24220 buffers
1529650506 KiB Mem: 8197444 total, 8004988 used, 192456 free, 24228 buffers
1529650508 KiB Mem: 8197444 total, 8001612 used, 195832 free, 24228 buffers
1529650509 KiB Mem: 8197444 total, 8003652 used, 193792 free, 24228 buffers
1529650510 KiB Mem: 8197444 total, 8005032 used, 192412 free, 24228 buffers
1529650511 KiB Mem: 8197444 total, 8005548 used, 191896 free, 24236 buffers
1529650512 KiB Mem: 8197444 total, 8005776 used, 191668 free, 24236 buffers
1529650513 KiB Mem: 8197444 total, 8006316 used, 191128 free, 24236 buffers
1529650515 KiB Mem: 8197444 total, 8014172 used, 183272 free, 24236 buffers
1529650516 KiB Mem: 8197444 total, 8010324 used, 187120 free, 24244 buffers
1529650517 KiB Mem: 8197444 total, 8014872 used, 182572 free, 24244 buffers
1529650518 KiB Mem: 8197444 total, 8010636 used, 186808 free, 24244 buffers
1529650519 KiB Mem: 8197444 total, 8006020 used, 191424 free, 24244 buffers
1529650520 KiB Mem: 8197444 total, 8003788 used, 193656 free, 24252 buffers
1529650522 KiB Mem: 8197444 total, 8003108 used, 194336 free, 24252 buffers
1529650523 KiB Mem: 8197444 total, 7999432 used, 198012 free, 24252 buffers
1529650524 KiB Mem: 8197444 total, 8003200 used, 194244 free, 24252 buffers
1529650525 KiB Mem: 8197444 total, 8002576 used, 194868 free, 24252 buffers
1529650526 KiB Mem: 8197444 total, 8002216 used, 195228 free, 24260 buffers
1529650527 KiB Mem: 8197444 total, 8002800 used, 194644 free, 24260 buffers
1529650529 KiB Mem: 8197444 total, 8002380 used, 195064 free, 24260 buffers
1529650530 KiB Mem: 8197444 total, 7998976 used, 198468 free, 24260 buffers
1529650531 KiB Mem: 8197444 total, 8002452 used, 194992 free, 24268 buffers
1529650532 KiB Mem: 8197444 total, 8000024 used, 197420 free, 24268 buffers
1529650533 KiB Mem: 8197444 total, 8002132 used, 195312 free, 24268 buffers
1529650534 KiB Mem: 8197444 total, 8001716 used, 195728 free, 24268 buffers
1529650536 KiB Mem: 8197444 total, 7998236 used, 199208 free, 24276 buffers
1529650537 KiB Mem: 8197444 total, 8002004 used, 195440 free, 24276 buffers
1529650538 KiB Mem: 8197444 total, 8001260 used, 196184 free, 24276 buffers
1529650539 KiB Mem: 8197444 total, 8002260 used, 195184 free, 24276 buffers
1529650540 KiB Mem: 8197444 total, 8002216 used, 195228 free, 24276 buffers
1529650541 KiB Mem: 8197444 total, 8002868 used, 194576 free, 24284 buffers
1529650543 KiB Mem: 8197444 total, 7999136 used, 198308 free, 24284 buffers
1529650544 KiB Mem: 8197444 total, 8002608 used, 194836 free, 24284 buffers
1529650545 KiB Mem: 8197444 total, 8002288 used, 195156 free, 24284 buffers
1529650546 KiB Mem: 8197444 total, 8003132 used, 194312 free, 24292 buffers
1529650547 KiB Mem: 8197444 total, 8003048 used, 194396 free, 24292 buffers
1529650548 KiB Mem: 8197444 total, 8004120 used, 193324 free, 24292 buffers
1529650550 KiB Mem: 8197444 total, 8003736 used, 193708 free, 24292 buffers
1529650551 KiB Mem: 8197444 total, 8003216 used, 194228 free, 24300 buffers
1529650552 KiB Mem: 8197444 total, 8011976 used, 185468 free, 24300 buffers
1529650553 KiB Mem: 8197444 total, 8008904 used, 188540 free, 24300 buffers
1529650554 KiB Mem: 8197444 total, 8012432 used, 185012 free, 24300 buffers
1529650555 KiB Mem: 8197444 total, 8009708 used, 187736 free, 24308 buffers
1529650557 KiB Mem: 8197444 total, 8000392 used, 197052 free, 24308 buffers
1529650558 KiB Mem: 8197444 total, 8001916 used, 195528 free, 24308 buffers
1529650559 KiB Mem: 8197444 total, 7999604 used, 197840 free, 24308 buffers
1529650560 KiB Mem: 8197444 total, 8001688 used, 195756 free, 24308 buffers
1529650561 KiB Mem: 8197444 total, 8001808 used, 195636 free, 24316 buffers
1529650562 KiB Mem: 8197444 total, 7998908 used, 198536 free, 24316 buffers
1529650564 KiB Mem: 8197444 total, 8001116 used, 196328 free, 24316 buffers
1529650565 KiB Mem: 8197444 total, 8002048 used, 195396 free, 24316 buffers
