1529649058 KiB Mem: 8197444 total, 7926312 used, 271132 free, 10692 buffers
1529649059 KiB Mem: 8197444 total, 8039284 used, 158160 free, 10692 buffers
1529649060 KiB Mem: 8197444 total, 8056804 used, 140640 free, 10692 buffers
1529649061 KiB Mem: 8197444 total, 8032556 used, 164888 free, 10696 buffers
1529649062 KiB Mem: 8197444 total, 8032784 used, 164660 free, 10704 buffers
1529649063 KiB Mem: 8197444 total, 8027188 used, 170256 free, 10704 buffers
1529649065 KiB Mem: 8197444 total, 8030672 used, 166772 free, 10704 buffers
1529649066 KiB Mem: 8197444 total, 8031392 used, 166052 free, 10704 buffers
1529649067 KiB Mem: 8197444 total, 8031456 used, 165988 free, 10704 buffers
1529649068 KiB Mem: 8197444 total, 8021752 used, 175692 free, 10712 buffers
1529649069 KiB Mem: 8197444 total, 8022160 used, 175284 free, 10712 buffers
1529649070 KiB Mem: 8197444 total, 8018836 used, 178608 free, 10712 buffers
1529649072 KiB Mem: 8197444 total, 8022684 used, 174760 free, 10712 buffers
1529649073 KiB Mem: 8197444 total, 8022668 used, 174776 free, 10720 buffers
1529649074 KiB Mem: 8197444 total, 8022820 used, 174624 free, 10720 buffers
1529649075 KiB Mem: 8197444 total, 8022924 used, 174520 free, 10720 buffers
1529649076 KiB Mem: 8197444 total, 8019292 used, 178152 free, 10720 buffers
1529649077 KiB Mem: 8197444 total, 8022768 used, 174676 free, 10728 buffers
1529649079 KiB Mem: 8197444 total, 8023060 used, 174384 free, 10728 buffers
1529649080 KiB Mem: 8197444 total, 8022460 used, 174984 free, 10728 buffers
1529649081 KiB Mem: 8197444 total, 8022740 used, 174704 free, 10728 buffers
1529649082 KiB Mem: 8197444 total, 8023724 used, 173720 free, 10728 buffers
1529649083 KiB Mem: 8197444 total, 8021652 used, 175792 free, 10736 buffers
1529649084 KiB Mem: 8197444 total, 8022952 used, 174492 free, 10736 buffers
1529649086 KiB Mem: 8197444 total, 8023720 used, 173724 free, 10736 buffers
1529649087 KiB Mem: 8197444 total, 8023664 used, 173780 free, 10736 buffers
1529649088 KiB Mem: 8197444 total, 8029396 used, 168048 free, 10744 buffers
1529649089 KiB Mem: 8197444 total, 8027720 used, 169724 free, 10744 buffers
