1529649058 %Cpu(s): 4.1 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649059 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649060 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649061 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649062 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649063 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649065 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649066 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649067 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649068 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649069 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649070 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649072 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649073 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649074 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649075 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649076 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649077 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649079 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649080 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649081 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649082 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649083 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649084 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649086 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649087 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649088 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649089 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649090 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649091 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649093 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649094 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649095 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649096 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649097 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649098 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649100 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649101 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649102 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649103 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649104 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649105 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649107 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649108 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649109 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649110 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649111 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649113 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.8 id, 5.3 wa, 0.0 hi, 0.1 si, 0.0 st
1529649114 %Cpu(s): 4.2 us, 1.5 sy, 0.0 ni, 88.9 id, 5.3 wa, 0.0 hi, 0.1 si, 0.0 st
