1529649943 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649944 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649945 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649946 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649948 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649949 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649950 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649951 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649952 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649953 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649955 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649956 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649957 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649958 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649959 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649960 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649962 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649963 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649964 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649965 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649966 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649967 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649969 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649970 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649971 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649972 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649973 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649974 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649976 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649977 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649978 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649979 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649980 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649981 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649983 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649984 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649985 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649986 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649987 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649988 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649990 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649991 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649992 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649993 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649994 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649995 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649997 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649998 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529649999 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650000 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650001 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650002 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650004 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650005 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650006 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650007 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650008 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650010 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650011 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650012 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650013 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650014 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650015 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650017 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650018 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650019 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650020 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650021 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650022 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650024 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650025 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650026 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650027 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650028 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650029 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650031 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650032 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650033 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650034 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650035 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650036 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650038 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650039 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650040 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650041 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650042 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650043 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650045 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650046 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650047 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650048 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650049 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650050 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650052 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650053 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650054 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650055 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650056 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650057 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650059 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650060 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650061 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650062 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650063 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650064 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.4 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650066 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650067 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650068 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650069 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650070 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650071 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650073 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
1529650074 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 89.5 id, 4.4 wa, 0.0 hi, 0.1 si, 0.0 st
