1529649943 KiB Mem: 8197444 total, 7817844 used, 379600 free, 12272 buffers
1529649944 KiB Mem: 8197444 total, 7911668 used, 285776 free, 12272 buffers
1529649945 KiB Mem: 8197444 total, 7967408 used, 230036 free, 12272 buffers
1529649946 KiB Mem: 8197444 total, 8043232 used, 154212 free, 12288 buffers
1529649948 KiB Mem: 8197444 total, 8042816 used, 154628 free, 12288 buffers
1529649949 KiB Mem: 8197444 total, 8030364 used, 167080 free, 12288 buffers
1529649950 KiB Mem: 8197444 total, 8033584 used, 163860 free, 12288 buffers
1529649951 KiB Mem: 8197444 total, 8033344 used, 164100 free, 12296 buffers
1529649952 KiB Mem: 8197444 total, 8033332 used, 164112 free, 12296 buffers
1529649953 KiB Mem: 8197444 total, 8030068 used, 167376 free, 12296 buffers
1529649955 KiB Mem: 8197444 total, 8032968 used, 164476 free, 12296 buffers
1529649956 KiB Mem: 8197444 total, 8033592 used, 163852 free, 12304 buffers
1529649957 KiB Mem: 8197444 total, 8033340 used, 164104 free, 12304 buffers
1529649958 KiB Mem: 8197444 total, 8033276 used, 164168 free, 12304 buffers
1529649959 KiB Mem: 8197444 total, 8033420 used, 164024 free, 12304 buffers
1529649960 KiB Mem: 8197444 total, 8029948 used, 167496 free, 12312 buffers
1529649962 KiB Mem: 8197444 total, 8033196 used, 164248 free, 12312 buffers
1529649963 KiB Mem: 8197444 total, 8033720 used, 163724 free, 12312 buffers
1529649964 KiB Mem: 8197444 total, 8033568 used, 163876 free, 12312 buffers
1529649965 KiB Mem: 8197444 total, 8033848 used, 163596 free, 12312 buffers
1529649966 KiB Mem: 8197444 total, 8033460 used, 163984 free, 12320 buffers
1529649967 KiB Mem: 8197444 total, 8030488 used, 166956 free, 12320 buffers
1529649969 KiB Mem: 8197444 total, 8034444 used, 163000 free, 12320 buffers
1529649970 KiB Mem: 8197444 total, 8034632 used, 162812 free, 12320 buffers
1529649971 KiB Mem: 8197444 total, 8044084 used, 153360 free, 12328 buffers
1529649972 KiB Mem: 8197444 total, 8036016 used, 161428 free, 12328 buffers
1529649973 KiB Mem: 8197444 total, 8044928 used, 152516 free, 12328 buffers
1529649974 KiB Mem: 8197444 total, 8031604 used, 165840 free, 12328 buffers
1529649976 KiB Mem: 8197444 total, 8033976 used, 163468 free, 12336 buffers
1529649977 KiB Mem: 8197444 total, 8036016 used, 161428 free, 12336 buffers
1529649978 KiB Mem: 8197444 total, 8034968 used, 162476 free, 12336 buffers
1529649979 KiB Mem: 8197444 total, 8035012 used, 162432 free, 12336 buffers
1529649980 KiB Mem: 8197444 total, 8035496 used, 161948 free, 12344 buffers
1529649981 KiB Mem: 8197444 total, 8031612 used, 165832 free, 12344 buffers
1529649983 KiB Mem: 8197444 total, 8034732 used, 162712 free, 12344 buffers
1529649984 KiB Mem: 8197444 total, 8034644 used, 162800 free, 12344 buffers
1529649985 KiB Mem: 8197444 total, 8035180 used, 162264 free, 12344 buffers
1529649986 KiB Mem: 8197444 total, 8031580 used, 165864 free, 12352 buffers
1529649987 KiB Mem: 8197444 total, 8033700 used, 163744 free, 12352 buffers
1529649988 KiB Mem: 8197444 total, 8034252 used, 163192 free, 12352 buffers
1529649990 KiB Mem: 8197444 total, 8034244 used, 163200 free, 12352 buffers
1529649991 KiB Mem: 8197444 total, 8033860 used, 163584 free, 12360 buffers
1529649992 KiB Mem: 8197444 total, 8034520 used, 162924 free, 12360 buffers
1529649993 KiB Mem: 8197444 total, 8031828 used, 165616 free, 12360 buffers
1529649994 KiB Mem: 8197444 total, 8034204 used, 163240 free, 12360 buffers
1529649995 KiB Mem: 8197444 total, 8033928 used, 163516 free, 12368 buffers
1529649997 KiB Mem: 8197444 total, 8036592 used, 160852 free, 12368 buffers
1529649998 KiB Mem: 8197444 total, 8034668 used, 162776 free, 12368 buffers
1529649999 KiB Mem: 8197444 total, 8032116 used, 165328 free, 12368 buffers
1529650000 KiB Mem: 8197444 total, 8044432 used, 153012 free, 12368 buffers
1529650001 KiB Mem: 8197444 total, 8042224 used, 155220 free, 12376 buffers
1529650002 KiB Mem: 8197444 total, 8037996 used, 159448 free, 12376 buffers
1529650004 KiB Mem: 8197444 total, 8042964 used, 154480 free, 12376 buffers
1529650005 KiB Mem: 8197444 total, 8039076 used, 158368 free, 12376 buffers
1529650006 KiB Mem: 8197444 total, 8030720 used, 166724 free, 12384 buffers
1529650007 KiB Mem: 8197444 total, 8032840 used, 164604 free, 12384 buffers
1529650008 KiB Mem: 8197444 total, 8037584 used, 159860 free, 12672 buffers
1529650010 KiB Mem: 8197444 total, 8071284 used, 126160 free, 12676 buffers
1529650011 KiB Mem: 8197444 total, 8076136 used, 121308 free, 12688 buffers
1529650012 KiB Mem: 8197444 total, 8073900 used, 123544 free, 12688 buffers
1529650013 KiB Mem: 8197444 total, 8048740 used, 148704 free, 12688 buffers
1529650014 KiB Mem: 8197444 total, 7944784 used, 252660 free, 12700 buffers
1529650015 KiB Mem: 8197444 total, 7980844 used, 216600 free, 12732 buffers
1529650017 KiB Mem: 8197444 total, 8008192 used, 189252 free, 12736 buffers
1529650018 KiB Mem: 8197444 total, 8020360 used, 177084 free, 13220 buffers
1529650019 KiB Mem: 8197444 total, 8030764 used, 166680 free, 13236 buffers
1529650020 KiB Mem: 8197444 total, 8033700 used, 163744 free, 13236 buffers
1529650021 KiB Mem: 8197444 total, 8034224 used, 163220 free, 13244 buffers
1529650022 KiB Mem: 8197444 total, 8040864 used, 156580 free, 13816 buffers
1529650024 KiB Mem: 8197444 total, 8050112 used, 147332 free, 14360 buffers
1529650025 KiB Mem: 8197444 total, 8047716 used, 149728 free, 14928 buffers
1529650026 KiB Mem: 8197444 total, 8073616 used, 123828 free, 14928 buffers
1529650027 KiB Mem: 8197444 total, 8062528 used, 134916 free, 17888 buffers
1529650028 KiB Mem: 8197444 total, 8043372 used, 154072 free, 19864 buffers
1529650029 KiB Mem: 8197444 total, 8048208 used, 149236 free, 20656 buffers
1529650031 KiB Mem: 8197444 total, 8024864 used, 172580 free, 21496 buffers
1529650032 KiB Mem: 8197444 total, 8014596 used, 182848 free, 23240 buffers
1529650033 KiB Mem: 8197444 total, 8001744 used, 195700 free, 23372 buffers
1529650034 KiB Mem: 8197444 total, 7996392 used, 201052 free, 23372 buffers
1529650035 KiB Mem: 8197444 total, 8000268 used, 197176 free, 23372 buffers
1529650036 KiB Mem: 8197444 total, 7996020 used, 201424 free, 23372 buffers
1529650038 KiB Mem: 8197444 total, 7990832 used, 206612 free, 23372 buffers
1529650039 KiB Mem: 8197444 total, 7986432 used, 211012 free, 23380 buffers
1529650040 KiB Mem: 8197444 total, 7989736 used, 207708 free, 23380 buffers
1529650041 KiB Mem: 8197444 total, 7999120 used, 198324 free, 23380 buffers
1529650042 KiB Mem: 8197444 total, 7998256 used, 199188 free, 23380 buffers
1529650043 KiB Mem: 8197444 total, 7998256 used, 199188 free, 23380 buffers
1529650045 KiB Mem: 8197444 total, 7998496 used, 198948 free, 23392 buffers
1529650046 KiB Mem: 8197444 total, 7996628 used, 200816 free, 23392 buffers
1529650047 KiB Mem: 8197444 total, 7997820 used, 199624 free, 23392 buffers
1529650048 KiB Mem: 8197444 total, 7997672 used, 199772 free, 23392 buffers
1529650049 KiB Mem: 8197444 total, 7997912 used, 199532 free, 23400 buffers
1529650050 KiB Mem: 8197444 total, 7998388 used, 199056 free, 23400 buffers
1529650052 KiB Mem: 8197444 total, 7994864 used, 202580 free, 23400 buffers
1529650053 KiB Mem: 8197444 total, 7998572 used, 198872 free, 23400 buffers
1529650054 KiB Mem: 8197444 total, 7998268 used, 199176 free, 23408 buffers
1529650055 KiB Mem: 8197444 total, 7997664 used, 199780 free, 23420 buffers
1529650056 KiB Mem: 8197444 total, 7998916 used, 198528 free, 23420 buffers
1529650057 KiB Mem: 8197444 total, 7998684 used, 198760 free, 23420 buffers
1529650059 KiB Mem: 8197444 total, 7996156 used, 201288 free, 23420 buffers
1529650060 KiB Mem: 8197444 total, 7999188 used, 198256 free, 23428 buffers
1529650061 KiB Mem: 8197444 total, 8000076 used, 197368 free, 23428 buffers
1529650062 KiB Mem: 8197444 total, 7999424 used, 198020 free, 23428 buffers
1529650063 KiB Mem: 8197444 total, 8008020 used, 189424 free, 23428 buffers
1529650064 KiB Mem: 8197444 total, 8002712 used, 194732 free, 23436 buffers
1529650066 KiB Mem: 8197444 total, 8004184 used, 193260 free, 23436 buffers
1529650067 KiB Mem: 8197444 total, 8005460 used, 191984 free, 23436 buffers
1529650068 KiB Mem: 8197444 total, 7998788 used, 198656 free, 23436 buffers
1529650069 KiB Mem: 8197444 total, 7997080 used, 200364 free, 23444 buffers
1529650070 KiB Mem: 8197444 total, 7998128 used, 199316 free, 23444 buffers
1529650071 KiB Mem: 8197444 total, 7997092 used, 200352 free, 23444 buffers
1529650073 KiB Mem: 8197444 total, 7996936 used, 200508 free, 23444 buffers
1529650074 KiB Mem: 8197444 total, 7996764 used, 200680 free, 23444 buffers
1529650075 KiB Mem: 8197444 total, 7997156 used, 200288 free, 23452 buffers
1529650076 KiB Mem: 8197444 total, 7996040 used, 201404 free, 23452 buffers
1529650077 KiB Mem: 8197444 total, 7997356 used, 200088 free, 23452 buffers
1529650079 KiB Mem: 8197444 total, 7992616 used, 204828 free, 23452 buffers
1529650080 KiB Mem: 8197444 total, 7996396 used, 201048 free, 23460 buffers
1529650081 KiB Mem: 8197444 total, 7995904 used, 201540 free, 23460 buffers
1529650082 KiB Mem: 8197444 total, 7996008 used, 201436 free, 23460 buffers
1529650083 KiB Mem: 8197444 total, 7996412 used, 201032 free, 23460 buffers
1529650084 KiB Mem: 8197444 total, 7996792 used, 200652 free, 23468 buffers
1529650086 KiB Mem: 8197444 total, 7993572 used, 203872 free, 23468 buffers
1529650087 KiB Mem: 8197444 total, 7996580 used, 200864 free, 23468 buffers
1529650088 KiB Mem: 8197444 total, 7996516 used, 200928 free, 23468 buffers
1529650089 KiB Mem: 8197444 total, 7996044 used, 201400 free, 23468 buffers
1529650090 KiB Mem: 8197444 total, 7996680 used, 200764 free, 23476 buffers
1529650091 KiB Mem: 8197444 total, 7992952 used, 204492 free, 23476 buffers
1529650093 KiB Mem: 8197444 total, 7997864 used, 199580 free, 23476 buffers
1529650094 KiB Mem: 8197444 total, 8005976 used, 191468 free, 23476 buffers
1529650095 KiB Mem: 8197444 total, 7998780 used, 198664 free, 23484 buffers
1529650096 KiB Mem: 8197444 total, 8005528 used, 191916 free, 23484 buffers
1529650097 KiB Mem: 8197444 total, 7998168 used, 199276 free, 23484 buffers
1529650098 KiB Mem: 8197444 total, 7992448 used, 204996 free, 23484 buffers
1529650100 KiB Mem: 8197444 total, 7995612 used, 201832 free, 23492 buffers
1529650101 KiB Mem: 8197444 total, 7995500 used, 201944 free, 23492 buffers
1529650102 KiB Mem: 8197444 total, 7995524 used, 201920 free, 23492 buffers
1529650103 KiB Mem: 8197444 total, 7992036 used, 205408 free, 23492 buffers
1529650104 KiB Mem: 8197444 total, 7995700 used, 201744 free, 23492 buffers
1529650105 KiB Mem: 8197444 total, 7995464 used, 201980 free, 23500 buffers
1529650107 KiB Mem: 8197444 total, 7995764 used, 201680 free, 23500 buffers
1529650108 KiB Mem: 8197444 total, 7995808 used, 201636 free, 23500 buffers
1529650109 KiB Mem: 8197444 total, 7992968 used, 204476 free, 23500 buffers
1529650110 KiB Mem: 8197444 total, 7994540 used, 202904 free, 23508 buffers
1529650111 KiB Mem: 8197444 total, 7995012 used, 202432 free, 23508 buffers
1529650112 KiB Mem: 8197444 total, 7995436 used, 202008 free, 23508 buffers
1529650114 KiB Mem: 8197444 total, 7994880 used, 202564 free, 23508 buffers
1529650115 KiB Mem: 8197444 total, 7995412 used, 202032 free, 23516 buffers
1529650116 KiB Mem: 8197444 total, 7991032 used, 206412 free, 23516 buffers
1529650117 KiB Mem: 8197444 total, 7994564 used, 202880 free, 23516 buffers
1529650118 KiB Mem: 8197444 total, 7995256 used, 202188 free, 23516 buffers
1529650119 KiB Mem: 8197444 total, 7996192 used, 201252 free, 23516 buffers
1529650121 KiB Mem: 8197444 total, 7995500 used, 201944 free, 23524 buffers
1529650122 KiB Mem: 8197444 total, 7993488 used, 203956 free, 23524 buffers
1529650123 KiB Mem: 8197444 total, 7996564 used, 200880 free, 23524 buffers
1529650124 KiB Mem: 8197444 total, 8003312 used, 194132 free, 23524 buffers
1529650125 KiB Mem: 8197444 total, 7995508 used, 201936 free, 23532 buffers
1529650126 KiB Mem: 8197444 total, 8004492 used, 192952 free, 23532 buffers
1529650128 KiB Mem: 8197444 total, 7999832 used, 197612 free, 23532 buffers
1529650129 KiB Mem: 8197444 total, 7990664 used, 206780 free, 23532 buffers
1529650130 KiB Mem: 8197444 total, 7994244 used, 203200 free, 23532 buffers
1529650131 KiB Mem: 8197444 total, 7993988 used, 203456 free, 23540 buffers
1529650132 KiB Mem: 8197444 total, 7994092 used, 203352 free, 23540 buffers
1529650133 KiB Mem: 8197444 total, 7994432 used, 203012 free, 23540 buffers
1529650135 KiB Mem: 8197444 total, 7994840 used, 202604 free, 23540 buffers
1529650136 KiB Mem: 8197444 total, 7990584 used, 206860 free, 23548 buffers
1529650137 KiB Mem: 8197444 total, 7993744 used, 203700 free, 23548 buffers
1529650138 KiB Mem: 8197444 total, 7993980 used, 203464 free, 23548 buffers
