1529649758 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.5 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649759 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649760 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649761 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649762 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649763 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649765 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649766 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649767 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649768 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649769 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649770 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649772 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649773 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649774 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649775 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649776 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649777 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649779 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649780 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649781 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649782 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649783 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649785 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649786 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649787 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.4 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649788 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.5 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649789 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.5 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649790 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.5 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649792 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.5 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649793 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.5 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
1529649794 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 89.5 id, 4.6 wa, 0.0 hi, 0.1 si, 0.0 st
