1529649758 KiB Mem: 8197444 total, 7924084 used, 273360 free, 11948 buffers
1529649759 KiB Mem: 8197444 total, 8031408 used, 166036 free, 11948 buffers
1529649760 KiB Mem: 8197444 total, 8050956 used, 146488 free, 11948 buffers
1529649761 KiB Mem: 8197444 total, 8059808 used, 137636 free, 11956 buffers
1529649762 KiB Mem: 8197444 total, 8060952 used, 136492 free, 11956 buffers
1529649763 KiB Mem: 8197444 total, 8045644 used, 151800 free, 11964 buffers
1529649765 KiB Mem: 8197444 total, 8048556 used, 148888 free, 11964 buffers
1529649766 KiB Mem: 8197444 total, 8049144 used, 148300 free, 11964 buffers
1529649767 KiB Mem: 8197444 total, 8049060 used, 148384 free, 11964 buffers
1529649768 KiB Mem: 8197444 total, 8049836 used, 147608 free, 11972 buffers
1529649769 KiB Mem: 8197444 total, 8051872 used, 145572 free, 11972 buffers
1529649770 KiB Mem: 8197444 total, 8047704 used, 149740 free, 11972 buffers
1529649772 KiB Mem: 8197444 total, 8051320 used, 146124 free, 11972 buffers
1529649773 KiB Mem: 8197444 total, 8051328 used, 146116 free, 11972 buffers
1529649774 KiB Mem: 8197444 total, 8048456 used, 148988 free, 11980 buffers
1529649775 KiB Mem: 8197444 total, 8050736 used, 146708 free, 11980 buffers
1529649776 KiB Mem: 8197444 total, 8050608 used, 146836 free, 11980 buffers
1529649777 KiB Mem: 8197444 total, 8047492 used, 149952 free, 11980 buffers
1529649779 KiB Mem: 8197444 total, 8051432 used, 146012 free, 11988 buffers
1529649780 KiB Mem: 8197444 total, 8051740 used, 145704 free, 11988 buffers
1529649781 KiB Mem: 8197444 total, 8051876 used, 145568 free, 11988 buffers
1529649782 KiB Mem: 8197444 total, 8052576 used, 144868 free, 11988 buffers
1529649783 KiB Mem: 8197444 total, 8050624 used, 146820 free, 11996 buffers
1529649785 KiB Mem: 8197444 total, 8062508 used, 134936 free, 11996 buffers
1529649786 KiB Mem: 8197444 total, 8060988 used, 136456 free, 11996 buffers
1529649787 KiB Mem: 8197444 total, 8055768 used, 141676 free, 11996 buffers
1529649788 KiB Mem: 8197444 total, 8064292 used, 133152 free, 11996 buffers
1529649789 KiB Mem: 8197444 total, 8056468 used, 140976 free, 12004 buffers
1529649790 KiB Mem: 8197444 total, 8053128 used, 144316 free, 12004 buffers
1529649792 KiB Mem: 8197444 total, 8053024 used, 144420 free, 12004 buffers
1529649793 KiB Mem: 8197444 total, 8055528 used, 141916 free, 12004 buffers
1529649794 KiB Mem: 8197444 total, 8055032 used, 142412 free, 12012 buffers
1529649795 KiB Mem: 8197444 total, 8054440 used, 143004 free, 12012 buffers
