1529650267 KiB Mem: 8197444 total, 7919256 used, 278188 free, 23788 buffers
1529650268 KiB Mem: 8197444 total, 8009912 used, 187532 free, 23788 buffers
1529650269 KiB Mem: 8197444 total, 8062392 used, 135052 free, 23788 buffers
1529650270 KiB Mem: 8197444 total, 8075192 used, 122252 free, 23800 buffers
1529650272 KiB Mem: 8197444 total, 8040104 used, 157340 free, 23800 buffers
1529650273 KiB Mem: 8197444 total, 8036036 used, 161408 free, 23800 buffers
1529650274 KiB Mem: 8197444 total, 8035684 used, 161760 free, 23800 buffers
1529650275 KiB Mem: 8197444 total, 8035612 used, 161832 free, 23804 buffers
1529650276 KiB Mem: 8197444 total, 8036804 used, 160640 free, 23812 buffers
1529650277 KiB Mem: 8197444 total, 8029060 used, 168384 free, 23816 buffers
1529650279 KiB Mem: 8197444 total, 8032880 used, 164564 free, 23816 buffers
1529650280 KiB Mem: 8197444 total, 8032824 used, 164620 free, 23816 buffers
1529650281 KiB Mem: 8197444 total, 8032188 used, 165256 free, 23824 buffers
1529650282 KiB Mem: 8197444 total, 8032316 used, 165128 free, 23824 buffers
1529650283 KiB Mem: 8197444 total, 8032660 used, 164784 free, 23824 buffers
1529650284 KiB Mem: 8197444 total, 8031520 used, 165924 free, 23824 buffers
1529650286 KiB Mem: 8197444 total, 8031236 used, 166208 free, 23836 buffers
1529650287 KiB Mem: 8197444 total, 8031436 used, 166008 free, 23836 buffers
1529650288 KiB Mem: 8197444 total, 8031588 used, 165856 free, 23836 buffers
1529650289 KiB Mem: 8197444 total, 8031740 used, 165704 free, 23836 buffers
1529650290 KiB Mem: 8197444 total, 8031944 used, 165500 free, 23844 buffers
1529650291 KiB Mem: 8197444 total, 8028020 used, 169424 free, 23844 buffers
1529650293 KiB Mem: 8197444 total, 8031648 used, 165796 free, 23844 buffers
1529650294 KiB Mem: 8197444 total, 8032336 used, 165108 free, 23844 buffers
1529650295 KiB Mem: 8197444 total, 8040700 used, 156744 free, 23844 buffers
1529650296 KiB Mem: 8197444 total, 8037820 used, 159624 free, 23852 buffers
1529650297 KiB Mem: 8197444 total, 8029080 used, 168364 free, 23852 buffers
1529650298 KiB Mem: 8197444 total, 8040284 used, 157160 free, 23852 buffers
1529650300 KiB Mem: 8197444 total, 8035808 used, 161636 free, 23852 buffers
1529650301 KiB Mem: 8197444 total, 8031424 used, 166020 free, 23860 buffers
1529650302 KiB Mem: 8197444 total, 8029664 used, 167780 free, 23860 buffers
1529650303 KiB Mem: 8197444 total, 8026308 used, 171136 free, 23860 buffers
1529650304 KiB Mem: 8197444 total, 8029100 used, 168344 free, 23860 buffers
1529650305 KiB Mem: 8197444 total, 8029900 used, 167544 free, 23868 buffers
1529650307 KiB Mem: 8197444 total, 8030612 used, 166832 free, 23868 buffers
1529650308 KiB Mem: 8197444 total, 8028628 used, 168816 free, 23868 buffers
1529650309 KiB Mem: 8197444 total, 8028700 used, 168744 free, 23868 buffers
1529650310 KiB Mem: 8197444 total, 8027336 used, 170108 free, 23868 buffers
1529650311 KiB Mem: 8197444 total, 8028880 used, 168564 free, 23876 buffers
1529650312 KiB Mem: 8197444 total, 8029024 used, 168420 free, 23876 buffers
1529650314 KiB Mem: 8197444 total, 8028052 used, 169392 free, 23876 buffers
1529650315 KiB Mem: 8197444 total, 8029260 used, 168184 free, 23876 buffers
1529650316 KiB Mem: 8197444 total, 8024460 used, 172984 free, 23884 buffers
1529650317 KiB Mem: 8197444 total, 8028712 used, 168732 free, 23884 buffers
1529650318 KiB Mem: 8197444 total, 8027268 used, 170176 free, 23884 buffers
1529650319 KiB Mem: 8197444 total, 8028244 used, 169200 free, 23884 buffers
1529650321 KiB Mem: 8197444 total, 8028108 used, 169336 free, 23892 buffers
1529650322 KiB Mem: 8197444 total, 8023968 used, 173476 free, 23892 buffers
1529650323 KiB Mem: 8197444 total, 8027372 used, 170072 free, 23892 buffers
1529650324 KiB Mem: 8197444 total, 8026688 used, 170756 free, 23892 buffers
1529650325 KiB Mem: 8197444 total, 8028016 used, 169428 free, 23900 buffers
1529650327 KiB Mem: 8197444 total, 8028960 used, 168484 free, 23900 buffers
1529650328 KiB Mem: 8197444 total, 8037748 used, 159696 free, 23900 buffers
1529650329 KiB Mem: 8197444 total, 8030584 used, 166860 free, 23900 buffers
1529650330 KiB Mem: 8197444 total, 8036572 used, 160872 free, 23900 buffers
1529650331 KiB Mem: 8197444 total, 8034164 used, 163280 free, 23908 buffers
1529650332 KiB Mem: 8197444 total, 8026512 used, 170932 free, 23908 buffers
1529650334 KiB Mem: 8197444 total, 8025696 used, 171748 free, 23908 buffers
1529650335 KiB Mem: 8197444 total, 8025952 used, 171492 free, 23908 buffers
1529650336 KiB Mem: 8197444 total, 8023832 used, 173612 free, 23916 buffers
1529650337 KiB Mem: 8197444 total, 8025148 used, 172296 free, 23916 buffers
1529650338 KiB Mem: 8197444 total, 8025852 used, 171592 free, 23916 buffers
1529650339 KiB Mem: 8197444 total, 8025528 used, 171916 free, 23916 buffers
1529650341 KiB Mem: 8197444 total, 8025804 used, 171640 free, 23924 buffers
1529650342 KiB Mem: 8197444 total, 8025480 used, 171964 free, 23924 buffers
1529650343 KiB Mem: 8197444 total, 8025608 used, 171836 free, 23924 buffers
1529650344 KiB Mem: 8197444 total, 8024408 used, 173036 free, 23924 buffers
1529650345 KiB Mem: 8197444 total, 8025216 used, 172228 free, 23924 buffers
1529650346 KiB Mem: 8197444 total, 8023124 used, 174320 free, 23932 buffers
1529650348 KiB Mem: 8197444 total, 8024200 used, 173244 free, 23932 buffers
1529650349 KiB Mem: 8197444 total, 8024288 used, 173156 free, 23932 buffers
1529650350 KiB Mem: 8197444 total, 8020340 used, 177104 free, 23932 buffers
1529650351 KiB Mem: 8197444 total, 8023824 used, 173620 free, 23940 buffers
1529650352 KiB Mem: 8197444 total, 8024108 used, 173336 free, 23940 buffers
1529650353 KiB Mem: 8197444 total, 8024764 used, 172680 free, 23940 buffers
1529650355 KiB Mem: 8197444 total, 8023920 used, 173524 free, 23940 buffers
1529650356 KiB Mem: 8197444 total, 8021064 used, 176380 free, 23948 buffers
1529650357 KiB Mem: 8197444 total, 8033660 used, 163784 free, 23948 buffers
1529650358 KiB Mem: 8197444 total, 8029896 used, 167548 free, 23948 buffers
1529650359 KiB Mem: 8197444 total, 8033420 used, 164024 free, 23948 buffers
1529650360 KiB Mem: 8197444 total, 8028168 used, 169276 free, 23956 buffers
1529650362 KiB Mem: 8197444 total, 8018776 used, 178668 free, 23956 buffers
1529650363 KiB Mem: 8197444 total, 8021712 used, 175732 free, 23956 buffers
1529650364 KiB Mem: 8197444 total, 8021596 used, 175848 free, 23956 buffers
1529650365 KiB Mem: 8197444 total, 8021908 used, 175536 free, 23956 buffers
1529650366 KiB Mem: 8197444 total, 8021892 used, 175552 free, 23964 buffers
1529650367 KiB Mem: 8197444 total, 8022148 used, 175296 free, 23964 buffers
1529650369 KiB Mem: 8197444 total, 8022304 used, 175140 free, 23964 buffers
1529650370 KiB Mem: 8197444 total, 8021548 used, 175896 free, 23964 buffers
1529650371 KiB Mem: 8197444 total, 8021124 used, 176320 free, 23972 buffers
1529650372 KiB Mem: 8197444 total, 8020936 used, 176508 free, 23972 buffers
1529650373 KiB Mem: 8197444 total, 8020596 used, 176848 free, 23972 buffers
1529650374 KiB Mem: 8197444 total, 8017672 used, 179772 free, 23972 buffers
1529650376 KiB Mem: 8197444 total, 8020020 used, 177424 free, 23980 buffers
1529650377 KiB Mem: 8197444 total, 8019972 used, 177472 free, 23980 buffers
1529650378 KiB Mem: 8197444 total, 8020684 used, 176760 free, 23980 buffers
1529650379 KiB Mem: 8197444 total, 8020660 used, 176784 free, 23980 buffers
1529650380 KiB Mem: 8197444 total, 8016700 used, 180744 free, 23988 buffers
1529650381 KiB Mem: 8197444 total, 8019640 used, 177804 free, 23988 buffers
1529650383 KiB Mem: 8197444 total, 8020732 used, 176712 free, 23988 buffers
1529650384 KiB Mem: 8197444 total, 8020024 used, 177420 free, 23988 buffers
1529650385 KiB Mem: 8197444 total, 8021264 used, 176180 free, 23988 buffers
1529650386 KiB Mem: 8197444 total, 8020448 used, 176996 free, 23996 buffers
1529650387 KiB Mem: 8197444 total, 8028724 used, 168720 free, 23996 buffers
1529650389 KiB Mem: 8197444 total, 8026272 used, 171172 free, 23996 buffers
1529650390 KiB Mem: 8197444 total, 8029504 used, 167940 free, 23996 buffers
1529650391 KiB Mem: 8197444 total, 8025348 used, 172096 free, 24004 buffers
1529650392 KiB Mem: 8197444 total, 8019488 used, 177956 free, 24004 buffers
1529650393 KiB Mem: 8197444 total, 8019504 used, 177940 free, 24004 buffers
1529650394 KiB Mem: 8197444 total, 8016064 used, 181380 free, 24004 buffers
1529650396 KiB Mem: 8197444 total, 8019344 used, 178100 free, 24012 buffers
1529650397 KiB Mem: 8197444 total, 8019208 used, 178236 free, 24012 buffers
1529650398 KiB Mem: 8197444 total, 8017352 used, 180092 free, 24012 buffers
1529650399 KiB Mem: 8197444 total, 8017904 used, 179540 free, 24012 buffers
1529650400 KiB Mem: 8197444 total, 8017600 used, 179844 free, 24012 buffers
1529650401 KiB Mem: 8197444 total, 8014344 used, 183100 free, 24020 buffers
1529650403 KiB Mem: 8197444 total, 8018124 used, 179320 free, 24020 buffers
1529650404 KiB Mem: 8197444 total, 8016884 used, 180560 free, 24020 buffers
1529650405 KiB Mem: 8197444 total, 8017180 used, 180264 free, 24020 buffers
1529650406 KiB Mem: 8197444 total, 8016332 used, 181112 free, 24028 buffers
1529650407 KiB Mem: 8197444 total, 8013736 used, 183708 free, 24028 buffers
1529650408 KiB Mem: 8197444 total, 8016304 used, 181140 free, 24028 buffers
1529650410 KiB Mem: 8197444 total, 8016816 used, 180628 free, 24028 buffers
1529650411 KiB Mem: 8197444 total, 8016384 used, 181060 free, 24036 buffers
1529650412 KiB Mem: 8197444 total, 8015876 used, 181568 free, 24036 buffers
1529650413 KiB Mem: 8197444 total, 8014936 used, 182508 free, 24036 buffers
1529650414 KiB Mem: 8197444 total, 8016124 used, 181320 free, 24036 buffers
1529650415 KiB Mem: 8197444 total, 8014928 used, 182516 free, 24044 buffers
1529650417 KiB Mem: 8197444 total, 8017260 used, 180184 free, 24044 buffers
1529650418 KiB Mem: 8197444 total, 8016708 used, 180736 free, 24044 buffers
1529650419 KiB Mem: 8197444 total, 8017060 used, 180384 free, 24044 buffers
1529650420 KiB Mem: 8197444 total, 8012932 used, 184512 free, 24044 buffers
1529650421 KiB Mem: 8197444 total, 8026300 used, 171144 free, 24052 buffers
1529650422 KiB Mem: 8197444 total, 8023512 used, 173932 free, 24052 buffers
1529650424 KiB Mem: 8197444 total, 8020516 used, 176928 free, 24052 buffers
1529650425 KiB Mem: 8197444 total, 8023984 used, 173460 free, 24052 buffers
1529650426 KiB Mem: 8197444 total, 8017740 used, 179704 free, 24060 buffers
1529650427 KiB Mem: 8197444 total, 8015784 used, 181660 free, 24060 buffers
1529650428 KiB Mem: 8197444 total, 8013720 used, 183724 free, 24064 buffers
1529650429 KiB Mem: 8197444 total, 8012236 used, 185208 free, 24064 buffers
1529650431 KiB Mem: 8197444 total, 8014824 used, 182620 free, 24072 buffers
1529650432 KiB Mem: 8197444 total, 8010636 used, 186808 free, 24072 buffers
1529650433 KiB Mem: 8197444 total, 8014172 used, 183272 free, 24072 buffers
1529650434 KiB Mem: 8197444 total, 8014716 used, 182728 free, 24072 buffers
1529650435 KiB Mem: 8197444 total, 8013868 used, 183576 free, 24072 buffers
1529650436 KiB Mem: 8197444 total, 8014280 used, 183164 free, 24080 buffers
1529650438 KiB Mem: 8197444 total, 8010748 used, 186696 free, 24080 buffers
1529650439 KiB Mem: 8197444 total, 8013752 used, 183692 free, 24080 buffers
1529650440 KiB Mem: 8197444 total, 8014280 used, 183164 free, 24080 buffers
1529650441 KiB Mem: 8197444 total, 8013948 used, 183496 free, 24088 buffers
1529650442 KiB Mem: 8197444 total, 8013456 used, 183988 free, 24088 buffers
1529650443 KiB Mem: 8197444 total, 8009616 used, 187828 free, 24088 buffers
1529650445 KiB Mem: 8197444 total, 8012996 used, 184448 free, 24088 buffers
1529650446 KiB Mem: 8197444 total, 8012940 used, 184504 free, 24096 buffers
1529650447 KiB Mem: 8197444 total, 8012320 used, 185124 free, 24096 buffers
1529650448 KiB Mem: 8197444 total, 8012676 used, 184768 free, 24096 buffers
1529650449 KiB Mem: 8197444 total, 7900904 used, 296540 free, 24096 buffers
1529650450 KiB Mem: 8197444 total, 7880356 used, 317088 free, 24108 buffers
