1529650267 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.5 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650268 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650269 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650270 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650272 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650273 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650274 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650275 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650276 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650277 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650279 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650280 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650281 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650282 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650283 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650284 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650286 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650287 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650288 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650289 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650290 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650291 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650293 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650294 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650295 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650296 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650297 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650298 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650300 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650301 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650302 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529650303 %Cpu(s): 4.6 us, 1.7 sy, 0.0 ni, 89.4 id, 4.2 wa, 0.0 hi, 0.1 si, 0.0 st
