1529648069 KiB Mem: 8197444 total, 7801188 used, 396256 free, 8332 buffers
1529648070 KiB Mem: 8197444 total, 7910480 used, 286964 free, 8332 buffers
1529648071 KiB Mem: 8197444 total, 8027912 used, 169532 free, 8344 buffers
1529648072 KiB Mem: 8197444 total, 8029400 used, 168044 free, 8344 buffers
1529648074 KiB Mem: 8197444 total, 8024704 used, 172740 free, 8344 buffers
1529648075 KiB Mem: 8197444 total, 8007452 used, 189992 free, 8344 buffers
1529648076 KiB Mem: 8197444 total, 8010828 used, 186616 free, 8352 buffers
1529648077 KiB Mem: 8197444 total, 8010824 used, 186620 free, 8352 buffers
1529648078 KiB Mem: 8197444 total, 8010404 used, 187040 free, 8352 buffers
1529648079 KiB Mem: 8197444 total, 8011344 used, 186100 free, 8352 buffers
1529648081 KiB Mem: 8197444 total, 8007536 used, 189908 free, 8360 buffers
1529648082 KiB Mem: 8197444 total, 8011496 used, 185948 free, 8360 buffers
1529648083 KiB Mem: 8197444 total, 8012012 used, 185432 free, 8360 buffers
1529648084 KiB Mem: 8197444 total, 8012004 used, 185440 free, 8360 buffers
1529648085 KiB Mem: 8197444 total, 8012028 used, 185416 free, 8360 buffers
1529648086 KiB Mem: 8197444 total, 8011116 used, 186328 free, 8368 buffers
1529648088 KiB Mem: 8197444 total, 8008532 used, 188912 free, 8368 buffers
1529648089 KiB Mem: 8197444 total, 8011448 used, 185996 free, 8368 buffers
1529648090 KiB Mem: 8197444 total, 8011528 used, 185916 free, 8368 buffers
1529648091 KiB Mem: 8197444 total, 8011892 used, 185552 free, 8376 buffers
1529648092 KiB Mem: 8197444 total, 8011420 used, 186024 free, 8376 buffers
1529648093 KiB Mem: 8197444 total, 8011796 used, 185648 free, 8376 buffers
1529648095 KiB Mem: 8197444 total, 8010876 used, 186568 free, 8376 buffers
1529648096 KiB Mem: 8197444 total, 8011712 used, 185732 free, 8376 buffers
1529648097 KiB Mem: 8197444 total, 8011580 used, 185864 free, 8384 buffers
1529648098 KiB Mem: 8197444 total, 8012184 used, 185260 free, 8384 buffers
1529648099 KiB Mem: 8197444 total, 8011604 used, 185840 free, 8384 buffers
1529648100 KiB Mem: 8197444 total, 8008520 used, 188924 free, 8384 buffers
1529648102 KiB Mem: 8197444 total, 8012704 used, 184740 free, 8392 buffers
1529648103 KiB Mem: 8197444 total, 8012628 used, 184816 free, 8392 buffers
