1529648069 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 86.8 id, 7.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529648070 %Cpu(s): 4.3 us, 1.6 sy, 0.0 ni, 86.7 id, 7.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529648071 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 86.7 id, 7.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529648072 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 86.7 id, 7.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529648074 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 86.7 id, 7.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529648075 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 86.7 id, 7.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529648076 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 86.7 id, 7.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529648077 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 86.7 id, 7.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529648078 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 86.7 id, 7.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529648079 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 86.7 id, 7.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529648081 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 86.7 id, 7.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529648082 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 86.7 id, 7.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529648083 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 86.7 id, 7.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529648084 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 86.7 id, 7.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529648085 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 86.7 id, 7.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529648086 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 86.7 id, 7.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529648088 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 86.7 id, 7.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529648089 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 86.7 id, 7.2 wa, 0.0 hi, 0.1 si, 0.0 st
1529648090 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 86.7 id, 7.2 wa, 0.0 hi, 0.1 si, 0.0 st
