1529647739 KiB Mem: 8197444 total, 7719060 used, 478384 free, 6472 buffers
1529647740 KiB Mem: 8197444 total, 7806740 used, 390704 free, 7728 buffers
1529647742 KiB Mem: 8197444 total, 7828356 used, 369088 free, 7728 buffers
1529647743 KiB Mem: 8197444 total, 7838136 used, 359308 free, 7736 buffers
1529647744 KiB Mem: 8197444 total, 7895448 used, 301996 free, 7740 buffers
1529647745 KiB Mem: 8197444 total, 7985040 used, 212404 free, 7780 buffers
1529647746 KiB Mem: 8197444 total, 7993180 used, 204264 free, 7788 buffers
1529647747 KiB Mem: 8197444 total, 7993992 used, 203452 free, 7788 buffers
1529647749 KiB Mem: 8197444 total, 7994468 used, 202976 free, 7788 buffers
1529647750 KiB Mem: 8197444 total, 7989612 used, 207832 free, 7788 buffers
1529647751 KiB Mem: 8197444 total, 7986580 used, 210864 free, 7796 buffers
1529647752 KiB Mem: 8197444 total, 7990208 used, 207236 free, 7796 buffers
1529647753 KiB Mem: 8197444 total, 7990360 used, 207084 free, 7796 buffers
1529647754 KiB Mem: 8197444 total, 7992172 used, 205272 free, 7796 buffers
1529647756 KiB Mem: 8197444 total, 7992888 used, 204556 free, 7808 buffers
1529647757 KiB Mem: 8197444 total, 7997020 used, 200424 free, 7808 buffers
1529647758 KiB Mem: 8197444 total, 7992832 used, 204612 free, 7808 buffers
1529647759 KiB Mem: 8197444 total, 7998776 used, 198668 free, 7808 buffers
1529647760 KiB Mem: 8197444 total, 7999848 used, 197596 free, 7816 buffers
1529647761 KiB Mem: 8197444 total, 8000360 used, 197084 free, 7816 buffers
1529647763 KiB Mem: 8197444 total, 8000308 used, 197136 free, 7816 buffers
1529647764 KiB Mem: 8197444 total, 8000992 used, 196452 free, 7816 buffers
1529647765 KiB Mem: 8197444 total, 7997536 used, 199908 free, 7816 buffers
1529647766 KiB Mem: 8197444 total, 8000756 used, 196688 free, 7824 buffers
1529647767 KiB Mem: 8197444 total, 8001084 used, 196360 free, 7824 buffers
1529647768 KiB Mem: 8197444 total, 8001160 used, 196284 free, 7824 buffers
1529647770 KiB Mem: 8197444 total, 8001812 used, 195632 free, 7824 buffers
1529647771 KiB Mem: 8197444 total, 8003300 used, 194144 free, 7840 buffers
1529647772 KiB Mem: 8197444 total, 8000644 used, 196800 free, 7840 buffers
1529647773 KiB Mem: 8197444 total, 8004652 used, 192792 free, 7840 buffers
1529647774 KiB Mem: 8197444 total, 8013472 used, 183972 free, 7840 buffers
1529647775 KiB Mem: 8197444 total, 8009952 used, 187492 free, 7848 buffers
1529647777 KiB Mem: 8197444 total, 8021132 used, 176312 free, 7848 buffers
