1529647739 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647740 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647742 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.7 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647743 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.7 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647744 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.7 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647745 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.7 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647746 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.7 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647747 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.7 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647749 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.7 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647750 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.7 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647751 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.7 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647752 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.7 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647753 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.7 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647754 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.7 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647756 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.7 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647757 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.7 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647758 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.7 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647759 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.7 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647760 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.7 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647761 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.7 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647763 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.7 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647764 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.7 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647765 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647766 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.1 wa, 0.0 hi, 0.1 si, 0.0 st
1529647767 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647768 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647770 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647771 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647772 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647773 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647774 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647775 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647777 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647778 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647779 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647780 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647781 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647782 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647784 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647785 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647786 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647787 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647788 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647789 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647791 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647792 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647793 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647794 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647795 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647797 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647798 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647799 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 8.0 wa, 0.0 hi, 0.1 si, 0.0 st
1529647800 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647801 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.8 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647802 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647804 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647805 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647806 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647807 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647808 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647809 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647811 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647812 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647813 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647814 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647815 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647816 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647818 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647819 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647820 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647821 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647822 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647823 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647825 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647826 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647827 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647828 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647829 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647830 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529647832 %Cpu(s): 4.4 us, 1.6 sy, 0.0 ni, 85.9 id, 7.9 wa, 0.0 hi, 0.1 si, 0.0 st
