1529650778 KiB Mem: 8197444 total, 7932636 used, 264808 free, 24700 buffers
1529650779 KiB Mem: 8197444 total, 8034780 used, 162664 free, 24700 buffers
1529650780 KiB Mem: 8197444 total, 8065152 used, 132292 free, 24700 buffers
1529650781 KiB Mem: 8197444 total, 8072944 used, 124500 free, 24716 buffers
1529650783 KiB Mem: 8197444 total, 8039884 used, 157560 free, 24716 buffers
1529650784 KiB Mem: 8197444 total, 8028196 used, 169248 free, 24716 buffers
1529650785 KiB Mem: 8197444 total, 8032104 used, 165340 free, 24716 buffers
1529650786 KiB Mem: 8197444 total, 8032244 used, 165200 free, 24724 buffers
1529650787 KiB Mem: 8197444 total, 8031532 used, 165912 free, 24724 buffers
1529650788 KiB Mem: 8197444 total, 8032180 used, 165264 free, 24724 buffers
1529650790 KiB Mem: 8197444 total, 8032696 used, 164748 free, 24724 buffers
1529650791 KiB Mem: 8197444 total, 8028692 used, 168752 free, 24732 buffers
1529650792 KiB Mem: 8197444 total, 8032208 used, 165236 free, 24732 buffers
1529650793 KiB Mem: 8197444 total, 8031968 used, 165476 free, 24732 buffers
1529650794 KiB Mem: 8197444 total, 8031812 used, 165632 free, 24732 buffers
1529650795 KiB Mem: 8197444 total, 8031188 used, 166256 free, 24732 buffers
1529650797 KiB Mem: 8197444 total, 8032136 used, 165308 free, 24740 buffers
1529650798 KiB Mem: 8197444 total, 8027284 used, 170160 free, 24740 buffers
1529650799 KiB Mem: 8197444 total, 8031252 used, 166192 free, 24740 buffers
1529650800 KiB Mem: 8197444 total, 8030852 used, 166592 free, 24740 buffers
1529650801 KiB Mem: 8197444 total, 8030976 used, 166468 free, 24748 buffers
1529650802 KiB Mem: 8197444 total, 8032196 used, 165248 free, 24748 buffers
1529650804 KiB Mem: 8197444 total, 8032368 used, 165076 free, 24748 buffers
1529650805 KiB Mem: 8197444 total, 8029160 used, 168284 free, 24748 buffers
1529650806 KiB Mem: 8197444 total, 8041244 used, 156200 free, 24748 buffers
1529650807 KiB Mem: 8197444 total, 8039136 used, 158308 free, 24756 buffers
1529650808 KiB Mem: 8197444 total, 8033956 used, 163488 free, 24756 buffers
1529650809 KiB Mem: 8197444 total, 8041316 used, 156128 free, 24756 buffers
1529650811 KiB Mem: 8197444 total, 8036244 used, 161200 free, 24756 buffers
1529650812 KiB Mem: 8197444 total, 8030960 used, 166484 free, 24764 buffers
1529650813 KiB Mem: 8197444 total, 8031032 used, 166412 free, 24764 buffers
1529650814 KiB Mem: 8197444 total, 8031152 used, 166292 free, 24764 buffers
1529650815 KiB Mem: 8197444 total, 8029340 used, 168104 free, 24764 buffers
1529650816 KiB Mem: 8197444 total, 8030944 used, 166500 free, 24764 buffers
1529650818 KiB Mem: 8197444 total, 8030584 used, 166860 free, 24772 buffers
1529650819 KiB Mem: 8197444 total, 8026336 used, 171108 free, 24772 buffers
1529650820 KiB Mem: 8197444 total, 8031204 used, 166240 free, 24772 buffers
1529650821 KiB Mem: 8197444 total, 8029692 used, 167752 free, 24772 buffers
1529650822 KiB Mem: 8197444 total, 8029352 used, 168092 free, 24780 buffers
1529650823 KiB Mem: 8197444 total, 8030860 used, 166584 free, 24780 buffers
1529650825 KiB Mem: 8197444 total, 8026792 used, 170652 free, 24780 buffers
1529650826 KiB Mem: 8197444 total, 8030348 used, 167096 free, 24780 buffers
1529650827 KiB Mem: 8197444 total, 8030944 used, 166500 free, 24788 buffers
1529650828 KiB Mem: 8197444 total, 8030244 used, 167200 free, 24788 buffers
1529650829 KiB Mem: 8197444 total, 8030652 used, 166792 free, 24788 buffers
1529650830 KiB Mem: 8197444 total, 8026456 used, 170988 free, 24788 buffers
1529650832 KiB Mem: 8197444 total, 8030692 used, 166752 free, 24788 buffers
1529650833 KiB Mem: 8197444 total, 8031288 used, 166156 free, 24796 buffers
1529650834 KiB Mem: 8197444 total, 8032296 used, 165148 free, 24796 buffers
1529650835 KiB Mem: 8197444 total, 8031408 used, 166036 free, 24796 buffers
1529650836 KiB Mem: 8197444 total, 8033172 used, 164272 free, 24796 buffers
1529650837 KiB Mem: 8197444 total, 8039064 used, 158380 free, 24804 buffers
1529650839 KiB Mem: 8197444 total, 8040112 used, 157332 free, 24804 buffers
1529650840 KiB Mem: 8197444 total, 8036340 used, 161104 free, 24804 buffers
1529650841 KiB Mem: 8197444 total, 8041008 used, 156436 free, 24804 buffers
1529650842 KiB Mem: 8197444 total, 8036892 used, 160552 free, 24812 buffers
1529650843 KiB Mem: 8197444 total, 8027364 used, 170080 free, 24812 buffers
1529650844 KiB Mem: 8197444 total, 8029928 used, 167516 free, 24812 buffers
1529650846 KiB Mem: 8197444 total, 8028420 used, 169024 free, 24812 buffers
1529650847 KiB Mem: 8197444 total, 8030056 used, 167388 free, 24812 buffers
1529650848 KiB Mem: 8197444 total, 8030996 used, 166448 free, 24820 buffers
1529650849 KiB Mem: 8197444 total, 8026076 used, 171368 free, 24820 buffers
1529650850 KiB Mem: 8197444 total, 8029172 used, 168272 free, 24820 buffers
1529650852 KiB Mem: 8197444 total, 8029588 used, 167856 free, 24820 buffers
1529650853 KiB Mem: 8197444 total, 8029672 used, 167772 free, 24828 buffers
1529650854 KiB Mem: 8197444 total, 8029684 used, 167760 free, 24828 buffers
1529650855 KiB Mem: 8197444 total, 8029824 used, 167620 free, 24828 buffers
1529650856 KiB Mem: 8197444 total, 8025556 used, 171888 free, 24828 buffers
1529650857 KiB Mem: 8197444 total, 8029592 used, 167852 free, 24828 buffers
1529650859 KiB Mem: 8197444 total, 8037632 used, 159812 free, 24836 buffers
1529650860 KiB Mem: 8197444 total, 8038412 used, 159032 free, 24836 buffers
1529650861 KiB Mem: 8197444 total, 8037504 used, 159940 free, 24836 buffers
1529650862 KiB Mem: 8197444 total, 8035436 used, 162008 free, 24836 buffers
1529650863 KiB Mem: 8197444 total, 8038344 used, 159100 free, 24844 buffers
1529650864 KiB Mem: 8197444 total, 8037564 used, 159880 free, 24844 buffers
1529650866 KiB Mem: 8197444 total, 8039568 used, 157876 free, 24844 buffers
1529650867 KiB Mem: 8197444 total, 8039380 used, 158064 free, 24844 buffers
1529650868 KiB Mem: 8197444 total, 8036428 used, 161016 free, 24852 buffers
1529650869 KiB Mem: 8197444 total, 8039640 used, 157804 free, 24852 buffers
1529650870 KiB Mem: 8197444 total, 8048024 used, 149420 free, 24852 buffers
1529650871 KiB Mem: 8197444 total, 8045136 used, 152308 free, 24852 buffers
1529650873 KiB Mem: 8197444 total, 8048560 used, 148884 free, 24852 buffers
1529650874 KiB Mem: 8197444 total, 8045444 used, 152000 free, 24860 buffers
1529650875 KiB Mem: 8197444 total, 8037044 used, 160400 free, 24860 buffers
1529650876 KiB Mem: 8197444 total, 8037644 used, 159800 free, 24860 buffers
1529650877 KiB Mem: 8197444 total, 8037988 used, 159456 free, 24860 buffers
1529650878 KiB Mem: 8197444 total, 8037080 used, 160364 free, 24868 buffers
1529650880 KiB Mem: 8197444 total, 8037596 used, 159848 free, 24868 buffers
1529650881 KiB Mem: 8197444 total, 8034332 used, 163112 free, 24868 buffers
1529650882 KiB Mem: 8197444 total, 8038008 used, 159436 free, 24868 buffers
1529650883 KiB Mem: 8197444 total, 8036460 used, 160984 free, 24868 buffers
1529650884 KiB Mem: 8197444 total, 8037240 used, 160204 free, 24876 buffers
1529650885 KiB Mem: 8197444 total, 8036440 used, 161004 free, 24876 buffers
1529650887 KiB Mem: 8197444 total, 8033304 used, 164140 free, 24876 buffers
1529650888 KiB Mem: 8197444 total, 8037136 used, 160308 free, 24876 buffers
1529650889 KiB Mem: 8197444 total, 8036808 used, 160636 free, 24884 buffers
1529650890 KiB Mem: 8197444 total, 8036904 used, 160540 free, 24884 buffers
1529650891 KiB Mem: 8197444 total, 8036872 used, 160572 free, 24884 buffers
1529650892 KiB Mem: 8197444 total, 8033460 used, 163984 free, 24884 buffers
1529650894 KiB Mem: 8197444 total, 8036292 used, 161152 free, 24892 buffers
1529650895 KiB Mem: 8197444 total, 8036232 used, 161212 free, 24892 buffers
1529650896 KiB Mem: 8197444 total, 8036776 used, 160668 free, 24892 buffers
1529650897 KiB Mem: 8197444 total, 8036356 used, 161088 free, 24892 buffers
1529650898 KiB Mem: 8197444 total, 8032712 used, 164732 free, 24892 buffers
1529650899 KiB Mem: 8197444 total, 8035524 used, 161920 free, 24900 buffers
1529650901 KiB Mem: 8197444 total, 8036884 used, 160560 free, 24900 buffers
1529650902 KiB Mem: 8197444 total, 8036340 used, 161104 free, 24900 buffers
1529650903 KiB Mem: 8197444 total, 8032292 used, 165152 free, 24900 buffers
1529650904 KiB Mem: 8197444 total, 8035476 used, 161968 free, 24908 buffers
1529650905 KiB Mem: 8197444 total, 8045488 used, 151956 free, 24908 buffers
1529650906 KiB Mem: 8197444 total, 8042312 used, 155132 free, 24908 buffers
1529650908 KiB Mem: 8197444 total, 8036436 used, 161008 free, 24908 buffers
1529650909 KiB Mem: 8197444 total, 8042144 used, 155300 free, 24908 buffers
1529650910 KiB Mem: 8197444 total, 8040028 used, 157416 free, 24916 buffers
1529650911 KiB Mem: 8197444 total, 8034760 used, 162684 free, 24916 buffers
1529650912 KiB Mem: 8197444 total, 8035480 used, 161964 free, 24916 buffers
1529650913 KiB Mem: 8197444 total, 8034164 used, 163280 free, 24916 buffers
1529650915 KiB Mem: 8197444 total, 8035420 used, 162024 free, 24924 buffers
1529650916 KiB Mem: 8197444 total, 8031588 used, 165856 free, 24924 buffers
1529650917 KiB Mem: 8197444 total, 8034692 used, 162752 free, 24924 buffers
1529650918 KiB Mem: 8197444 total, 8035328 used, 162116 free, 24924 buffers
1529650919 KiB Mem: 8197444 total, 8034104 used, 163340 free, 24924 buffers
1529650920 KiB Mem: 8197444 total, 8034100 used, 163344 free, 24932 buffers
1529650922 KiB Mem: 8197444 total, 8031060 used, 166384 free, 24932 buffers
1529650923 KiB Mem: 8197444 total, 8033916 used, 163528 free, 24932 buffers
1529650924 KiB Mem: 8197444 total, 8035156 used, 162288 free, 24932 buffers
1529650925 KiB Mem: 8197444 total, 8034580 used, 162864 free, 24940 buffers
1529650926 KiB Mem: 8197444 total, 8034932 used, 162512 free, 24940 buffers
1529650927 KiB Mem: 8197444 total, 8032744 used, 164700 free, 24940 buffers
1529650929 KiB Mem: 8197444 total, 8034908 used, 162536 free, 24940 buffers
1529650930 KiB Mem: 8197444 total, 8035300 used, 162144 free, 24948 buffers
1529650931 KiB Mem: 8197444 total, 8035240 used, 162204 free, 24948 buffers
1529650932 KiB Mem: 8197444 total, 8036412 used, 161032 free, 24948 buffers
1529650933 KiB Mem: 8197444 total, 8034400 used, 163044 free, 24952 buffers
1529650934 KiB Mem: 8197444 total, 8043476 used, 153968 free, 24952 buffers
1529650936 KiB Mem: 8197444 total, 8040904 used, 156540 free, 24960 buffers
1529650937 KiB Mem: 8197444 total, 8039004 used, 158440 free, 24964 buffers
1529650938 KiB Mem: 8197444 total, 8043156 used, 154288 free, 24964 buffers
1529650939 KiB Mem: 8197444 total, 8032536 used, 164908 free, 24964 buffers
1529650940 KiB Mem: 8197444 total, 8032636 used, 164808 free, 24972 buffers
1529650942 KiB Mem: 8197444 total, 8032376 used, 165068 free, 24972 buffers
1529650943 KiB Mem: 8197444 total, 8029132 used, 168312 free, 24972 buffers
