1529650778 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.6 id, 3.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529650779 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529650780 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529650781 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529650783 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529650784 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.9 wa, 0.0 hi, 0.1 si, 0.0 st
1529650785 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650786 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650787 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650788 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650790 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650791 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650792 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650793 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650794 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650795 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650797 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650798 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650799 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650800 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650801 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650802 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650804 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650805 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650806 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650807 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650808 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650809 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650811 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650812 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650813 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650814 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
1529650815 %Cpu(s): 4.8 us, 1.7 sy, 0.0 ni, 89.5 id, 3.8 wa, 0.0 hi, 0.1 si, 0.0 st
